sku,model,brand,size,store_id,stock_count,current_price
134787812,Assel Luxe 3D-картина Белая нежность 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
149121480,Assel Luxe 3D-картина «Золотая осень» — 70100 см 70x100 см,assel-luxe1,70x100,30426959_PP1,10.0,39990
620455647,Assel Luxe модульная картина Хлебный колос 80x80 см,assel-luxe1,80x80,30426959_PP1,10.0,79990
373074270,Assel Luxe модульная картина Орнамент 200x70 см,assel-luxe1,200x70,30426959_PP1,10.0,84990
419400305,Assel Luxe 3D-картина 419400305 160x80 см,assel-luxe1,160x80,30426959_PP1,10.0,59990
720661735,Assel Decor 3D-картина Берег озера 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
159367892,Assel Luxe 3D-картина Картина Две Лошади 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
100484237,Assel Decor 3D-картина Арыстан отбасы 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
920701256,Assel Luxe 3D-картина Инь Янь 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
626827820,Assel Luxe 3D-картина Рыбы и лотос 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
346846736,Assel Luxe модульная картина Дерево 200x70 см,assel-luxe1,200x70,30426959_PP1,10.0,84990
776310460,Assel Luxe 3D-картина Цветочки растения 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
857041643,"Часы механические Assel Luxe 857041643, металл",assel-luxe1,,30426959_PP1,10.0,84990
279105148,Assel Luxe 3D-картина Лошадь с подсветкой 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,84990
130571088_838813016,Assel Luxe 3D-картина Дерево с желтыми листьями 160x80 см,assel-luxe1,160x80,30426959_PP1,10.0,59990
025122091,Assel Luxe модульная картина Assel Luxe Картина модуль цветы 50x70 см,assel-luxe1,50x70,30426959_PP1,10.0,49990
126380388,Assel Decor 3D-картина Лебеди 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
687780854,Assel Luxe модульная картина Амулет Счастья 200x70 см,assel-luxe1,200x70,30426959_PP1,10.0,84990
611193475,Assel Luxe 3D-картина Желтая птичка 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
140239148_086529554,Assel Luxe 3D-картина Assel Luxe Картина деревья восход 160x80 см,assel-luxe1,160x80,30426959_PP1,10.0,59990
139828533_377363520,Assel Luxe 3D-картина 365111993 70x100 см,assel-luxe1,70x100,30426959_PP1,10.0,39990
587069464,Assel Luxe 3D-картина Золотой закат 80x80 см,assel-luxe1,80x80,30426959_PP1,10.0,39990
583086260,Assel Luxe 3D-картина Роза красная 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
820664798,Assel Luxe модульная картина Скандинавия 50x70 см,assel-luxe1,50x70,30426959_PP1,10.0,74990
921131148,Assel Luxe 3D-картина «Мой день — моё правило» 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
576483145,Assel Luxe 3D-картина Дерево природа 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
986527000,Assel Luxe 3D-картина Балерина 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
719675962,Assel Luxe 3D-картина Assel Luxe Картина Модуль скандинавия листья 50x70 см,assel-luxe1,50x70,30426959_PP1,10.0,74990
245328323,Assel Decor 3D-картина Тәжді арыстан 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
973597785,Assel Luxe 3D-картина MBAPPE 50x70 см,assel-luxe1,50x70,30426959_PP1,10.0,24990
359844348,Assel Luxe 3D-картина «Священная Медина» 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
232176957,Assel Decor 3D-картина Золотые крылья любви 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
132791399_397652357,Assel Luxe 3D-картина Рука 70x100 см,assel-luxe1,70x100,30426959_PP1,10.0,39990
760163272,Assel Luxe 3D-картина Слон 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,84990
917965112,Assel Luxe 3D-картина Олень 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
740526929,Assel Decor 3D-картина Черный лошадь 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
607057189,Assel Decor 3D-картина Assel Decor КартинаТанцы 160x80 см,assel-decor,160x80,30426959_PP1,10.0,59990
130786869_821480590,Assel Luxe 3D-картина Карпы и лотос 160x80 см,assel-luxe1,160x80,30426959_PP1,10.0,59990
081020000,Assel Luxe 3D-картина «Священная Мекка» — 70100 см 70x100 см,assel-luxe1,70x100,30426959_PP1,10.0,39990
451647241,Assel Decor 3D-картина Қос тұлпар 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
265478569,Assel Luxe 3D-картина Луна и черный Конь 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
886971400,Assel Luxe модульная картина Павлин модуль для гостиной 200x70 см,assel-luxe1,200x70,30426959_PP1,10.0,84990
923631362,Assel Luxe 3D-картина Белый цветок с часами 80x200 см,assel-luxe1,80x200,30426959_PP1,10.0,99990
329747623,Assel Luxe 3D-картина Гривая Лошадка 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
128739241_270260792,Assel Luxe модульная картина Природа 70x100 см,assel-luxe1,70x100,30426959_PP1,10.0,84990
174302034,Assel Luxe 3D-картина Африканском стиле 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
779398814,Assel Luxe 3D-картина Карпы 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,84990
067799308,Assel Luxe 3D-картина Лось природа 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
291112691,Assel Luxe модульная картина Жар птица 200x70 см,assel-luxe1,200x70,30426959_PP1,9.0,84990
072289080,Assel Decor 3D-картина Тигр и лев 80x160 см,assel-decor,80x160,30426959_PP1,10.0,59990
176302631,Assel Luxe модульная картина Лось животные 50x70 см,assel-luxe1,50x70,30426959_PP1,10.0,74990
611157833,Assel Luxe 3D-картина Художественная Лошадка 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
130670941_833194210,Assel Luxe 3D-картина Голова черного Коня 70x100 см,assel-luxe1,70x100,30426959_PP1,10.0,39990
945042975,Assel Luxe 3D-картина ваза со цветами 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
858424653,Assel Luxe 3D-картина Рыбки 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
892992434,Assel Luxe 3D-картина Цветочная симфония 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,59990
886280286,Assel Luxe модульная картина Современная гармония 50x70 см,assel-luxe1,50x70,30426959_PP1,10.0,49990
011032532,Assel Luxe 3D-картина Слон 80x160 см,assel-luxe1,80x160,30426959_PP1,10.0,84990
012251872,Assel Luxe модульная картина Assel Luxe Картина Ак дастархан 200x70 см,assel-luxe1,200x70,30426959_PP1,10.0,84990
